#,Produit,Marque,Catégorie,Nuit,Texture,Prix,Note,Avis,BSR,Actifs,Cibles,Types de peau,Moment,Fréquence,Grossesse,Peau sensible,Irritation(0-5),Force(1-5),Preuve(1-5),Sans parfum,Sentiment,Peau grasse,Peau sèche,Peau mixte,Peau sensible,Peau normale,Customers say,Image
49,Farmacy Green Clean Cleansing Balm,Farmacy Beauty,démaquillant,,,21.6,4.6,8529,2412,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,0.84,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the cleansing balm effective at removing makeup, particularly waterproof mascara, and appreciate its moisturizing properties that leave skin soft and clean. The product is gentle on eyes, doesn't irritate skin, and has a divine fragrance. While some customers consider it worth the pri…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/049_B07CV28SSD.png
50,Clinique Take The Day Off Cleansing Balm,Clinique,démaquillant,,,15,4.7,6714,4373,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this cleansing balm effective at removing makeup and appreciate its gentle, non-irritating formula that leaves skin soft and smooth. The product has a neutral scent and comes in convenient travel-sized containers. While some customers consider it worth the price, others find it not wo…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/050_B07F1LRBCF.png
51,Then I Met You Living Cleansing Balm,Soko,démaquillant,,,29.25,4.5,601,15784,baume,flaking,"normale, seche",pm,daily,ok,ok,0,1,3,oui,0.83,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the cleansing balm extremely effective at removing makeup, particularly eye and face makeup, and appreciate its double cleansing capabilities. The product receives positive feedback for its moisturizing properties, leaving skin feeling soft and refreshed, and its silky, buttery textur…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/051_B0B5W7KRWL.png
52,The Ordinary Salicylic Acid 2% Solution,DECIEM,exfoliant,,,6.7,4.7,10914,231,BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔,⚠,2,3,5,?,0.83,👍 oui,⚠️ prudence,👍 oui,⚠️ prudence,👍 oui,"Customers find the salicylic acid solution effective for acne and sebaceous filaments, while also appreciating its quality and value for money. The product makes skin smooth and feels great after use, with customers noting it promotes a healthy skin glow and makes their face look clearer. While some…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/052_B0C3PCJ6SD.png
53,COSRX BHA Blackhead Power Liquid,COSRX Inc.,exfoliant,,,13.99,4.5,4259,4322,BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔,⚠,2,3,5,oui,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the toner effective and appreciate its gentle formula that doesn't burn or tingle, with one noting it's suitable for sensitive skin. The product makes skin feel smoother and more soft, and customers like that it has virtually no scent. Regarding consistency, while some say it soaks in…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/053_B00OZEJ8R8.png
54,Stridex Maximum Strength Pads,BLISTEX INC,exfoliant,,,4.68,4.7,9650,963,BHA 2%,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔,⚠,2,3,5,non,0.82,👍 oui,⚠️ prudence,👍 oui,⚠️ prudence,👍 oui,"Customers find these acne pads effective at clearing skin and controlling oily skin, while also appreciating their smooth texture and gentle application that takes less than a minute. The product receives positive feedback for its quality container and value for money. Opinions are mixed regarding d…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/054_B000O1KP1O.png
55,Paula's Choice 2% BHA Liquid Exfoliant,Paulas Choice,exfoliant,,,25.9,4.5,114871,59,BHA,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔,⚠,2,3,5,oui,0.86,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers report that the exfoliant works wonders, transforming their skin and keeping it clear, while making it feel smooth and improving texture. The product helps even skin tone and reduces redness. Regarding moisturizing and value for money, opinions are mixed - while some find it moisturizing a…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/055_B00949CTQQ.png
56,Naturium BHA Liquid Exfoliant 2%,Naturium,exfoliant,,,14.44,4.4,3211,10338,BHA encapsulé,"acne, comedones, fine_lines, flaking, pores, shine","grasse, mixte, normale, seche",pm,3x/sem,⛔,⚠,2,3,5,oui,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the exfoliant effective, particularly for combination skin, and report that it leaves their face feeling hydrated and smooth. The product receives positive feedback for its price point and ability to even out skin tone and texture, with customers noting a glowing appearance. Regarding…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/056_B08881VH6J.png
57,The Ordinary Glycolic Acid 7% Toning,DECIEM,exfoliant,,,13.5,4.7,54390,6,AHA glycolique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠,3,3,4,?,0.83,👍 oui,⚠️ prudence,👍 oui,⚠️ prudence,👍 oui,"Customers find this toner effective as a chemical exfoliant that delivers visible results, with many noting it's better than pharmaceutical-grade alternatives. The toner improves skin appearance by lightening hyperpigmentation and making it clearer, while also making it smoother and more hydrated. M…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/057_B071914GGL.png
58,The Ordinary Lactic Acid 10% + HA,DECIEM,exfoliant,,,9.2,4.6,7772,4267,AHA lactique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠,3,3,4,oui,0.83,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers find the lactic acid serum effective at exfoliating and transforming their skin, making it smooth and clear with a glowing appearance. The product quickly absorbs into the skin and is considered a great addition to skincare routines, with one customer noting it can be used daily or every o…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/058_B07NDNPCKW.png
59,The Ordinary Mandelic Acid 10% + HA,DECIEM,exfoliant,,,7.8,4.6,4345,3875,AHA mandélique,"acne, fine_lines, flaking, post_acne_marks, radiance, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,ok,⚠,3,3,4,?,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective for sensitive skin, particularly for cystic acne, and appreciate its gentle formula that doesn't cause irritation. The product helps with skin appearance, making it clearer and brighter, with dark spots lightening and skin tone becoming more even. While customers l…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/059_B07BGJMNYL.png
60,Pixi Glow Tonic,Pixi,exfoliant,,,29,4.6,5730,15886,AHA glycolique 5%,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠,3,3,4,oui,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the toner works wonders on their skin, providing a nice balanced glow from chin to forehead. The product is gentle on skin, particularly suitable for normal/dry skin, and customers appreciate its hydrating properties without causing dryness or peeling. They like its fragrance and repo…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/060_B00KH6QX08.png
61,Good Molecules Mandelic Acid Serum,"Good Molecules, LLC",exfoliant,,,9.99,4.6,903,58820,AHA mandélique,"acne, fine_lines, flaking, post_acne_marks, radiance, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,ok,⚠,3,3,4,oui,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective for acne-prone skin and appreciate its gentle formula for sensitive skin. Moreover, the product receives positive feedback for its texture, with customers noting smoother, glassy results without irritation, and its ability to brighten and even skin tone while reduc…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/061_B0D6TWLB6T.png
62,Paula's Choice 8% AHA Gel Exfoliant,Paula's Choice,exfoliant,,,37,4.4,3693,23692,AHA glycolique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠,3,3,4,oui,0.81,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers report that the exfoliant works wonders for their skin, making it feel smooth and supple throughout the day, with brighter and clearer appearance. The product receives mixed feedback regarding skin irritation and sensitivity - while some find it gentle and non-irritating, others report sev…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/062_B00949CO66.png
63,Drunk Elephant T.L.C. Framboos,Drunk Elephant,exfoliant,,,90,4.5,1208,58589,AHA/BHA,"acne, comedones, fine_lines, flaking, pores, radiance, shine, texture, tone_evenness","grasse, mixte, normale, seche",pm,1-2x/sem,⛔,⚠,3,3,5,?,0.82,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers find the serum effective as a mild chemical exfoliator and appreciate its ability to fade acne scars and hyperpigmentation, making their skin more vibrant and glowy. The product receives positive feedback for its softening effects, with one customer noting it's gentle enough to leave on ov…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/063_B00L3LDDD6.png
64,Sunday Riley Good Genes Lactic Acid,Sunday Riley,exfoliant,,,51,4.6,3252,5753,AHA lactique,"fine_lines, flaking, radiance, texture, tone_evenness","mixte, normale, seche",pm,1-2x/sem,ok,⚠,3,3,4,oui,0.84,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers report that the treatment serum makes their skin look and feel healthier, with immediate brightening effects and smooth texture. Moreover, the product effectively moisturizes without leaving an oily residue, and one customer notes it gently exfoliates without irritation. However, customers…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/064_B0037LRZHA.png
65,Cetaphil Extra Gentle Daily Scrub,Galderma,exfoliant,,,13.66,4.6,9211,3303,mécanique doux,"flaking, redness","normale, seche, sensible",pm,3x/sem,ok,ok,0,1,3,non,0.82,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the face wash effective at exfoliating and cleaning while being gentle enough for sensitive skin, with a creamy texture and micro-fine granules. The product receives positive feedback for its effectiveness and value for money. However, the fragrance receives mixed reactions, with some…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/065_B077FZ112C.png
66,St. Ives Gentle Smoothing Oatmeal Scrub & Mask,St. Ives,exfoliant,,,9.99,4.6,5731,107902,"avoine, gommage doux","flaking, radiance, redness, texture","normale, seche, sensible",pm,3x/sem,ok,⚠,1,2,3,non,0.80,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers find this face scrub effective at exfoliating and moisturizing dry skin, with one noting it helped lighten acne scars. The product is gentle enough for sensitive skin, leaving it smooth and soft, and customers appreciate its divine fragrance and good value for money. While some customers s…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/066_B00GTC1H5U.png
67,Dermalogica Daily Microfoliant,Dermalogica,exfoliant,,,69,4.7,3674,7745,enzymatique (riz),"radiance, texture",tous,pm,3x/sem,ok,ok,1,2,3,?,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the exfoliant effective at managing surface acne and hyperpigmentation, while being gentle enough for sensitive skin and suitable for daily use. The product makes skin smooth and bright, with one customer noting immediate texture improvement after one use, and customers appreciate its…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/067_B071ZBJPH7.png
68,Tatcha The Rice Polish,Tatcha,exfoliant,,,48.28,4.7,725,21822,enzymatique,"radiance, texture",tous,pm,3x/sem,ok,ok,1,2,3,?,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the exfoliant effective at removing dead skin and making their face feel fresh and smooth, particularly noting it's gentle on sensitive skin. Moreover, the product foams well and lasts a while. However, opinions about value for money are mixed, with some finding it worth the price whi…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/068_B092MTC96K.png
69,Pixi Peel & Polish,Pixi,exfoliant,,,21,4.5,166,116624,enzymatique (fruits),"radiance, texture",tous,pm,3x/sem,ok,ok,1,2,3,oui,0.80,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the exfoliant effective for dry skin, with one noting it doesn't cause irritation. The product receives positive feedback for its texture, with one customer describing it as making skin feel like silk, while another mentions it leaves a subtle glow.",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/069_B09SGR2F3S.png
70,The Ordinary Niacinamide 10% + Zinc 1%,DECIEM,serum,,,6,4.7,58745,37,niacinamide,"pores, redness, shine, tone_evenness","grasse, mixte, sensible",both,3x/sem,ok,ok,0,2,4,?,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at brightening, clearing, and reducing redness, while also being good for oily skin and working well with makeup. Moreover, the product receives positive feedback for its value, smooth texture, and moisturizing properties, with one customer noting it holds 1000X mo…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/070_B01MDTVZTZ.png
71,Paula's Choice BOOST 10% Niacinamide,Paula's Choice,serum,,,34.3,4.5,1514,15330,niacinamide,"pores, redness, shine, tone_evenness","grasse, mixte, sensible",both,3x/sem,ok,ok,0,2,4,oui,0.82,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers report that the serum delivers on its promise to shrink pores and help with melasma, while also improving skin tone and making it look better. The product receives positive feedback for its effectiveness as one of the best niacinamide products, and customers appreciate its smoother texture…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/071_B01GF1EOB8.png
72,Beauty of Joseon Glow Serum (Propolis/Niacinamide),Beauty of Joseon,serum,,,11.9,4.6,1450,2778,niacinamide/propolis,"acne, pores, radiance, redness, shine, tone_evenness","grasse, mixte, sensible",both,3x/sem,ok,ok,0,2,4,oui,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this serum effective as an addition to their skincare routine, noting its ability to add a perfect amount of glow and even out skin tone. The product receives positive feedback for its moisturizing properties, with one customer mentioning it's great for locking in moisture in the morn…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/072_B0F8LBX37X.png
73,Maelove The Glow Maker,MAELOVE,serum,,,31.9,4.4,1179,3598,vit C (L-AA 15%),"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠,1,3,4,oui,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this vitamin C serum effective at brightening and even skin tone, while also hydrating and smoothing their complexion. The product receives positive feedback for its quality, gentle texture, and ability to fade dark spots, with one customer noting it helps keep hyperpigmentation and f…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/073_B0CWN226NC.png
74,Timeless 20% Vitamin C + E + Ferulic,Timeless Skin Care,serum,,,16.17,4.3,13022,406,vit C,"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠,1,3,4,oui,0.84,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers find this Vitamin C serum effective, noting it works well under moisturizer and under makeup, with noticeable improvements in skin tone and a healthy glow. The product receives positive feedback for its value, with one customer mentioning it works well with Retin A. While some customers re…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/074_B0036BI56G.png
75,Naturium Vitamin C Complex,Naturium,serum,,,15.95,4.6,8070,1028,vit C,"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠,1,3,4,oui,0.83,⚠️ prudence,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this Vitamin C serum to be a high-quality product that works well with other skincare products and shows immediate results. The serum improves skin appearance by brightening and evening out tone, while keeping it soft and hydrated with a light oil-like texture. While some customers re…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/075_B07Y469VXX.png
76,TruSkin Vitamin C Serum,TruSkin Naturals,serum,,,14.99,4.4,155664,221,vit C,"dark_spots, fine_lines, radiance, tone_evenness","mixte, normale, seche",both,3x/sem,ok,⚠,1,3,4,oui,0.84,👍 oui,⚠️ prudence,👍 oui,👍 oui,👍 oui,"Customers find this vitamin C serum to be a fabulous product that delivers visible improvements in skin texture and appearance. The serum works quickly and helps fade dark spots, with customers noting their skin looks more radiant and youthful with a beautiful glow. While some customers report their…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/076_B01M4MCUAF.png
77,The Ordinary Azelaic Acid 10%,DECIEM,serum,,,12.2,4.5,7357,77,azélaïque,"acne, dark_spots, post_acne_marks, redness, tone_evenness","grasse, mixte, normale, seche, sensible",both,3x/sem,ok,ok,1,3,4,?,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers report positive results with this skin moisturizer, noting it helps with perioral dermatitis, rosacea, and hyperpigmentation, while reducing redness on cheeks and improving skin tone. The product receives positive feedback for its texture, being velvety smooth and leaving the face soft, an…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/077_B06WD5J8KY.png
78,Paula's Choice BOOST 10% Azelaic Acid,Paula's Choice,serum,,,39,4.3,6168,1511,azélaïque,"acne, dark_spots, post_acne_marks, redness, tone_evenness","grasse, mixte, normale, seche, sensible",both,3x/sem,ok,ok,1,3,4,oui,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at reducing pimples and perioral dermatitis, while also improving skin tone by evening it out and fading dark spots. Moreover, the product receives positive feedback for its quality and texture, with customers noting it feels smooth on the skin. However, customers …",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/078_B00V4PNAI4.png
79,The Ordinary Hyaluronic Acid 2% + B5,The Ordinary,serum,,,9.9,4.7,37345,34,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,3x/sem,ok,ok,0,1,4,?,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this hyaluronic acid serum to be better quality than name-brand products, with excellent moisturizing properties that hydrate and make skin look smooth. The serum works well under moisturizer and makeup, and customers appreciate its quick absorption without leaving a sticky feeling. T…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/079_B01MYEZPC8.png
80,La Roche-Posay Hyalu B5 Serum,La Roche-Posay,serum,,,28.47,4.6,35477,357,HA/madécassoside,"fine_lines, flaking, redness","mixte, normale, seche, sensible",both,3x/sem,ok,ok,0,1,4,?,0.86,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at hydrating and plumping skin, with one noting results within a couple of days. The product receives positive feedback for its silky texture, glowing appearance, and ability to even skin tone out, while also being gentle enough for sensitive skin. The fragrance re…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/080_B075VX4QVM.png
81,Vichy Minéral 89,Vichy,serum,,,22.49,4.6,46978,2291,acide hyaluronique,"fine_lines, flaking","mixte, normale, seche",both,3x/sem,ok,ok,0,1,4,oui,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this hyaluronic acid serum effective, noting it delivers results within days and works well under makeup. Moreover, the product receives positive feedback for its moisturizing properties, particularly for oily skin, and its silky smooth texture that absorbs quickly without feeling sti…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/081_B06XC5PQGL.png
82,Drunk Elephant B-Hydra,Drunk Elephant,serum,,,54,4.6,2461,25285,HA/pro-vit B5,"fine_lines, flaking, redness","mixte, normale, seche, sensible",both,3x/sem,ok,ok,0,1,4,?,0.82,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at keeping skin moist and shiny, with a smooth, non-greasy texture that makes it feel good. The product receives positive feedback for its appearance, with one customer noting it makes their face look brighter and smoother. The pump functionality and fragrance rece…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/082_B01B9OEDKS.png
83,Purito Centella Unscented Serum,HINATURE Inc,serum,,,27.99,4.5,2482,185097,centella,"flaking, redness","normale, seche, sensible",both,3x/sem,ok,ok,0,1,3,oui,0.85,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this serum effective for various skin types, including sensitive, oily, and acne-prone skin, and appreciate its ability to rebuild the skin barrier and smooth out scars. Moreover, the serum keeps skin moisturized, feels gentle without being sticky, and is fragrance-free. Additionally,…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/083_B081ZQFNBK.png
84,La Roche-Posay Cicaplast Baume B5,La Roche-Posay,serum,,,14.23,4.7,21446,68,panthénol/madécassoside,"flaking, redness","normale, seche, sensible",both,3x/sem,ok,ok,0,1,3,oui,0.86,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this moisturizer effective for skin barrier repair and appreciate its light texture that doesn't feel heavy or greasy. The product soothes and calms skin, with one customer noting it helps with eczema, and they report no breakouts or irritations. They like its compatibility with sensi…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/084_B0060OUV5Y.png
85,Dr. Jart+ Cicapair Serum,Dr.Jart+,serum,,,43.2,4.5,165,36455,centella,"flaking, redness","normale, seche, sensible",both,3x/sem,ok,ok,0,1,3,?,0.82,?,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at moisturizing and repairing skin, with one mentioning it helps with rosacea. The product feels gentle on sensitive skin, and customers consider it a great product.",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/085_B0D2GPJF6H.png
86,The Ordinary Multi-Peptide + HA (« Buffet »),DECIEM,serum,,,19.9,4.7,2522,1534,peptides,"fine_lines, wrinkles","mixte, normale, seche",both,3x/sem,ok,ok,0,2,3,?,0.81,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers find the serum effective for mature skin, with quick results and improved appearance. They appreciate its hydrating properties, smooth texture, and non-greasy formula, while also considering it affordable. Regarding skin irritation, opinions are mixed - some customers report it doesn't irr…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/086_B0BLHW7JZM.png
87,Naturium Multi-Peptide Advanced Serum,Naturium,serum,,,18.99,4.6,976,4229,peptides,"fine_lines, wrinkles","mixte, normale, seche",both,3x/sem,ok,ok,0,2,3,oui,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at reducing forehead wrinkles and making skin noticeably brighter and plumper. They appreciate its hydrating properties, with one customer noting it delivers results without overwhelming the skin. The serum receives positive feedback for its texture, with customers…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/087_B0CQTSM65J.png
88,The Ordinary Alpha Arbutin 2% + HA,DECIEM,serum,,,11.5,4.5,7108,1238,arbutine,"dark_spots, tone_evenness","mixte, normale, seche",both,3x/sem,ok,ok,0,2,3,?,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at fading dark spots and making skin brighter, while also appreciating its hydrating properties and smooth texture. Moreover, the product receives positive feedback for its quality and value for money. However, experiences with skin irritation are mixed, with some …",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/088_B06XCZFCFZ.png
89,Good Molecules Discoloration Correcting Serum,Good Molecules,serum,,,11.94,4.4,15192,487,ac. tranexamique,"dark_spots, post_acne_marks, tone_evenness","mixte, normale, seche",both,3x/sem,ok,ok,1,3,3,oui,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum effective at fading dark spots and improving skin tone, with one noting visible results in less than a week. Moreover, the product receives positive feedback for its hydrating properties, smooth texture, and good value for money. However, customers disagree on its effectiven…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/089_B08RJ4ZHXJ.png
90,Naturium Tranexamic Topical Acid 5%,Naturium,serum,,,12.15,4.2,3317,3774,ac. tranexamique,"dark_spots, post_acne_marks, tone_evenness","mixte, normale, seche",both,3x/sem,ok,ok,1,3,3,oui,0.80,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the serum to be of good quality and excellent value for money, with positive feedback about its texture making skin feel smooth and soft. The product receives mixed reviews for skin improvement, with some reporting dark spots getting lighter while others see no improvement. Customers …",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/090_B086YZRHH7.png
91,The Ordinary Retinol 0.2% in Squalane,DECIEM,traitement,,,8.1,4.6,4790,4530,rétinol (débutant),"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔,⚠,4,4,5,?,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this retinol serum effective at controlling acne and reducing dark spots, while being gentle on sensitive skin without causing irritation. The product receives positive feedback for its moisturizing properties, with one customer noting their face stays soft all day, and its quick-abso…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/091_B077DWJ4H5.png
92,The Ordinary Granactive Retinoid 2% Emulsion,DECIEM,traitement,,,12.1,4.6,4761,1722,rétinoïde doux,"acne, fine_lines, flaking, pores, redness, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche, sensible",pm,1-2x/sem,⛔,⚠,4,4,5,?,0.84,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find this retinoid serum effective at reducing fine lines and forehead wrinkles, with their skin looking radiant and brighter over time. The product receives positive feedback for its gentle formula that doesn't cause irritation, and customers appreciate its moisturizing properties that le…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/092_B071HHSMTT.png
93,CeraVe Resurfacing Retinol Serum,CeraVe,traitement,,,17.74,4.6,56320,431,rétinol,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔,⚠,4,4,5,oui,0.83,👍 oui,👍 oui,👍 oui,👍 oui,👍 oui,"Customers find the retinol serum effective at clearing skin and improving texture, with one customer noting its success in treating maskne on sensitive skin. The product receives positive feedback for its gentle formula, brightening effect, and non-greasy texture, while also being fragrance-free and…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/093_B07VWSN95S.png
94,Differin Adapalene Gel 0.1%,"Galderma Laboratories, Inc",traitement,,,9.97,4.5,71104,270,adapalène,"acne, comedones, texture","grasse, mixte",pm,1-2x/sem,⛔,⚠,4,4,5,oui,0.82,👍 oui,⚠️ prudence,👍 oui,⚠️ prudence,👍 oui,"Customers report that the acne treatment gel works fast and helps prevent new breakouts, while also improving skin texture and making it feel smooth. The product receives positive feedback for its appearance, with customers noting their skin looks clearer and more radiant. Regarding dryness and sens…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/094_B07L1PHSY9.png
95,RoC Retinol Correxion Deep Wrinkle Night,RoC,traitement,,,21.97,4.4,23899,1253,rétinol,"acne, fine_lines, pores, texture, tone_evenness, wrinkles","grasse, mixte, normale, seche",pm,1-2x/sem,⛔,⚠,4,4,5,non,0.83,👍 oui,👍 oui,👍 oui,⚠️ prudence,👍 oui,"Customers find this retinol cream effective at reducing wrinkles and fine lines, particularly under the eyes, and appreciate that it's non-greasy with a silky feel. Moreover, they consider it good value for money, noting it works well without expensive dermatologist treatments. However, the fragranc…",https://yitigxyfibpqvhkrwuiz.supabase.co/storage/v1/object/public/product-images/095_B00027DMI8.png
